country,n_rows,date_min,date_max,n_columns,n_missing_cols,missing_cols,missing_vals
Japan,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 2, 8, ]"
Jersey,1674,2020-01-05,2024-08-04,67,54,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Jordan,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 8, ]"
Kazakhstan,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 2, ]"
Kenya,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 9, ]"
Kiribati,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 3, 3, 3, ]"
Kosovo,1674,2020-01-05,2024-08-04,67,51,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 7, ]"
Kuwait,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 0, ]"
Kyrgyzstan,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 7, ]"
Laos,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 0, 5, 5, ]"
Latvia,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 6, ]"
Lebanon,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 1, ]"
Lesotho,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 6, 7, ]"
Liberia,1674,2020-01-05,2024-08-04,67,42,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Libya,1674,2020-01-05,2024-08-04,67,44,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 2, 5, ]"
Liechtenstein,1674,2020-01-05,2024-08-04,67,49,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 8, 1, 0, ]"
Lithuania,1684,2020-01-05,2024-08-14,67,49,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1, 0,  , 1, 0,  , 1, 5,  , 1, 0,  , 1, 0, ]"
Low-income countries,2724,2020-01-05,2024-08-04,67,63,"continent, total_cases, new_cases, new_cases_smoothed, total_deaths","[, 2, 7, 2, 4,  , 1, 0, 5, 0,  , 1, 0, 5, 0,  , 1, 0, 5, 5,  , 1, 0, 5, 0, ]"
Lower-middle-income countries,2983,2020-01-05,2024-08-12,67,63,"continent, total_cases, new_cases, new_cases_smoothed, total_deaths","[, 2, 9, 8, 3,  , 1, 3, 0, 9,  , 1, 3, 0, 9,  , 1, 3, 1, 4,  , 1, 3, 0, 9, ]"
Luxembourg,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 3, ]"
Macao,795,2021-02-08,2023-04-13,67,56,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 7, 9, 5,  , 7, 9, 5,  , 7, 9, 5,  , 7, 9, 5,  , 7, 9, 5, ]"
Madagascar,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 8, ]"
Malawi,1674,2020-01-05,2024-08-04,67,42,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Malaysia,1684,2020-01-05,2024-08-14,67,49,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1, 0,  , 1, 0,  , 1, 5,  , 1, 0,  , 1, 0, ]"
Maldives,1674,2020-01-05,2024-08-04,67,44,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Mali,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 9, ]"
Malta,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 9, ]"
Marshall Islands,1674,2020-01-05,2024-08-04,67,46,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 5, 2, 8, ]"
Martinique,1674,2020-01-05,2024-08-04,67,51,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Mauritania,1674,2020-01-05,2024-08-04,67,45,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Mauritius,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 5, ]"
Mayotte,1674,2020-01-05,2024-08-04,67,53,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Mexico,1678,2020-01-01,2024-08-04,67,48,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 4,  , 4,  , 9,  , 4,  , 4, ]"
Micronesia (country),1674,2020-01-05,2024-08-04,67,46,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Moldova,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 9, ]"
Monaco,1674,2020-01-05,2024-08-04,67,50,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 4, 9, ]"
Mongolia,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 1, 3, ]"
Montenegro,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 7, ]"
Montserrat,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Morocco,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 8, ]"
Mozambique,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 0, 8, ]"
Myanmar,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 8, 6, ]"
Namibia,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 5, 3, ]"
Nauru,1674,2020-01-05,2024-08-04,67,47,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 4, 7, 8, ]"
Nepal,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 0, 4, ]"
Netherlands,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 1, ]"
New Caledonia,1674,2020-01-05,2024-08-04,67,48,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
New Zealand,1681,2020-01-05,2024-08-11,67,50,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[,  , 7,  ,  , 7,  , 1, 2,  ,  , 7,  ,  , 7, ]"
Nicaragua,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 1, 8, ]"
Niger,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 0, ]"
Nigeria,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 5, ]"
Niue,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
North America,1674,2020-01-05,2024-08-04,67,55,"continent, new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million","[, 1, 6, 7, 4,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5, ]"
North Korea,1674,2020-01-05,2024-08-04,67,46,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
North Macedonia,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 8, ]"
Northern Cyprus,691,2021-01-14,2022-12-06,67,62,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 6, 9, 1,  , 6, 9, 1,  , 6, 9, 1,  , 6, 9, 1,  , 6, 9, 1, ]"
Northern Ireland,1372,2020-03-10,2023-12-11,67,60,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1, 3, 7, 2,  , 1, 3, 7, 2,  , 1, 3, 7, 2,  , 1, 3, 7, 2,  , 1, 3, 7, 2, ]"
Northern Mariana Islands,1674,2020-01-05,2024-08-04,67,51,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Norway,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 2, ]"
